ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Variable Output Compressor,Registration Number
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD224KYX/OSA224RKTGH,,,TEMPERZONE,3.4,Ducted,Single Split System,,Air,Air,"New Zealand,Australia",6.75,18.04,21.44,,0,,,,6.75,21.45,Enthalpy Test Room,3.1763,3.1778,TRUE,100,,12.26,11.71,0,0,,,,3.156915733,3.159252948,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",89528,2020/5/21,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,201000331,3.1763,Available,,,TRUE,AAC1555
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SACV14D1S/SCHV14D1S,,,Braemar,3,Ducted,Single Split System,,Air,,"Australia,China",3.9,11.5,14.5,,0,,,,,,Enthalpy Test Room,3.7215,0,TRUE,,,2.14,,0,0,,,,3.714613386,0,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",89566,2020/5/21,,Approved,Cooling Only,,Class 7,TRUE,,,TRUE,TRUE,TRUE,,3.7215,Available,,,TRUE,AAC1554
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD224KYX/OSA224RKTFH,,,TEMPERZONE,2.81,Ducted,Single Split System,,Air,Air,"New Zealand,Australia",6.61,17.79,20.6,,0,,,,7.36,23.03,Enthalpy Test Room,3.1165,3.1291,TRUE,63,,10.26,9.71,0,0,,,,3.1002251,3.115184818,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",89642,2020/6/1,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,201000331,3.1165,Available,,,TRUE,AAC1566
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD87KYX/OSA87RKSH,,,TEMPERZONE,1.27,Ducted,Single Split System,,Air,Air,"New Zealand,Australia",2.54,7,8.27,,0,,,,2.27,7.77,Enthalpy Test Room,3.2559,3.4229,FALSE,,,3.91,3.71,0,0,,,,3.239052492,3.404102746,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",89756,2020/5/22,,Approved,Reverse Cycle,,Class 6,FALSE,,TRUE,,,,201000331,3.2559,Available,,,FALSE,AAC1556
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD184KYX/OSA184RKTFH,,,TEMPERZONE,2.89,Ducted,Single Split System,,Air,Air,"New Zealand,Australia",5.69,15.05,17.94,,0,,,,5.69,18.73,Enthalpy Test Room,3.1529,3.2917,TRUE,,,10.91,10.71,0,0,,,,3.132598056,3.270930225,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",89758,2020/5/19,,Approved,Reverse Cycle,,Class 7,FALSE,,TRUE,,,,201000331,3.1529,Available,,,TRUE,AAC1546
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,LED265V5/LCD265V5,,,LENNOX,5.5,Ducted,Single Split System,,Air,Air,China,8.2,21,26.5,795,0,,,510,8,26.5,Enthalpy Test Room,3.1798,3.3757,TRUE,,,58,58,0,0,,,,3.105611488,3.293228847,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",89939,2020/7/1,,Approved,Reverse Cycle,1470,Class 11,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.1798,Available,,,TRUE,AAC1621
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,LED235V5/LCD235V5,,,LENNOX,4,Ducted,Single Split System,,Air,Air,China,7,19.5,23.5,795,0,,,510,7.55,25.5,Enthalpy Test Room,3.3177,3.3661,TRUE,,,57.58,57.48,0,0,,,,3.231690421,3.285335008,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",89940,2020/7/1,,Approved,Reverse Cycle,1470,Class 11,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.3177,Available,,,TRUE,AAC1620
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SACV12D1S/SCHV12D1S,,,Braemar,2.8,Ducted,Single Split System,,Air,,"China,Australia",3.5,10.2,13,,0,,,,,,Enthalpy Test Room,3.7018,0,TRUE,,,2.16,,0,0,,,,3.694096014,0,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",89967,2020/5/21,,Approved,Cooling Only,,Class 7,TRUE,,,TRUE,TRUE,TRUE,,3.7018,Available,,,TRUE,AAC1553
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,SACV10D1S/SCHV10D1S,,,Braemar,1.6,Ducted,Single Split System,,Air,,"Australia,China",2.9,8.4,10,,0,,,,,,Enthalpy Test Room,3.4041,0,TRUE,,,2,,0,0,,,,3.39610281,0,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",90016,2020/5/26,,Approved,Cooling Only,,Class 7,TRUE,,,TRUE,TRUE,TRUE,,3.4041,Available,,,TRUE,AAC1563
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DMORC26DR,,,MIDEA,0.25,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.6,2.3,2.55,198,0,,,280,0.62,2.65,Calorimeter Room,4.3619,4.2636,TRUE,,,3.7,4.7,0,0,,,,4.270318015,4.154853376,,,4.0406,3.8097,4,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90090,2020/6/16,,Approved,Reverse Cycle,750,Class 3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.3619,Available,,,TRUE,AAC1585
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FCQ125KA / RZQ125L,,,DAIKIN,3,Non Ducted,Single Split System,Cassette,Air,Air,"Japan,Thailand",4.02,9.5,12.5,840,0,,,298,3.825,14,Enthalpy Test Room,3.1434,3.7709,TRUE,94.27,,29.8,37.2,5.266331658,0,,,,3.064364894,3.643785033,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",90132,2020/9/11,,Approved,Reverse Cycle,840,Class 5,FALSE,,FALSE,FALSE,FALSE,FALSE,,3.1434,Available,,,TRUE,AAC1781
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,FDC224KXZXE1,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",3.14,Non Ducted,Multiple split - VRF,,Air,Air,Thailand,5.14,19.26,22.4,,0,,,,5.72,25,Enthalpy Test Room,4.1194,4.6116,TRUE,,,55,55,0,0,,,,3.977236859,4.453267835,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90136,2020/6/2,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.1194,Available,,,TRUE,AAC1572
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FHQ140CAV / RZQS140AV,,,DAIKIN,3.6,Non Ducted,Single Split System,Under ceiling,Air,Air,"Japan,Thailand",4.34,9.6,13.2,690,0,,,235,4.94,16,Enthalpy Test Room,3.0502,3.3405,TRUE,85.34,,29.8,37.2,4.4,0,,,,2.979125518,3.2537423,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",90139,2020/6/23,,Approved,Reverse Cycle,1590,Class 5,FALSE,,FALSE,FALSE,FALSE,FALSE,,3.0502,Available,,,TRUE,AAC1598
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FHQ125BWV / RZQS125AY,,,DAIKIN,3.2,Non Ducted,Single Split System,Under ceiling,Air,Air,"Japan,Thailand",3.56,8,11.2,680,0,,,195,4.35,13.5,Enthalpy Test Room,3.1433,3.1566,TRUE,91.79,,29.8,37.2,6.026344676,3.92440854,,,,3.056967737,3.06686475,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90145,2020/6/24,,Approved,Reverse Cycle,1590,Class 5,FALSE,,FALSE,TRUE,TRUE,TRUE,,3.1433,Available,,,TRUE,AAC1608
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,FDC280KXZXE1,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",3.92,Non Ducted,Multiple split - VRF,,Air,Air,Thailand,7.27,24.08,28,,0,,,,7.15,31.5,Enthalpy Test Room,3.7484,4.2891,TRUE,,,59,59,0,0,,,,3.648613644,4.171490166,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90153,2020/6/1,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.7484,Available,,,TRUE,AAC1565
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT140LB / RZQS140AV,,,DAIKIN,1.3,Ducted,Single Split System,,Air,Air,"Thailand,Australia",4.13,12.7,14,943,0,,,430,4.29,16.5,Enthalpy Test Room,3.4488,3.9168,TRUE,80.89,,31.4,38.8,4.62995338,0,,,,3.359628693,3.799003197,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",90165,2020/6/24,,Approved,Reverse Cycle,1498,Class 7,FALSE,,TRUE,TRUE,FALSE,FALSE,KRP58M51,3.4488,Available,,,TRUE,AAC1607
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT125L / RZQS125AY,,,DAIKIN,1.2,Ducted,Single Split System,Under ceiling,Air,Air,Thailand,3.68,11.3,12.5,,0,,,,3.79,15,Enthalpy Test Room,3.6536,4.1108,TRUE,85.477,,31.4,38.8,0,0,,,,3.545374654,3.973027053,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",90166,2020/6/9,,Approved,Reverse Cycle,,Class 7,FALSE,,TRUE,TRUE,FALSE,FALSE,KRP58M51,3.6536,Available,,,TRUE,AAC1574
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.3:2002,FDC335KXZXE1,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.32,Non Ducted,Multiple split - VRF,,Air,Air,Thailand,9.04,32.18,33.5,,0,,,,8.75,37.5,,4.0723,4.2604,TRUE,,,59,59,0,0,,,,3.977050157,4.166399349,,,,,,,,Three,R410A,"Australia,Fiji,New Zealand",90170,2020/6/23,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.0723,Available,,,TRUE,AAC1599
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT160L / RZQS160AV,,,DAIKIN,1.3,Ducted,Single Split System,Cassette,Air,Air,Thailand,4.92,14.7,16,,0,,,,4.72,18,Enthalpy Test Room,3.1806,3.8423,TRUE,100,,31.4,38.9,0,0,,,,3.113095195,3.737667932,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",90171,2020/6/9,,Approved,Reverse Cycle,,Class 7,FALSE,,FALSE,TRUE,FALSE,FALSE,KRP58M51,3.1806,Available,,,TRUE,AAC1575
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQT140LB / RZQS140AY,,,DAIKIN,1.3,Ducted,Single Split System,,Air,Air,"Thailand,Australia",4.13,12.7,14,943,0,,,430,4.29,16.5,Enthalpy Test Room,3.428,3.8793,TRUE,80.45,,31.4,38.8,4.602213162,0,,,,3.339395811,3.763983228,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90172,2020/6/23,,Approved,Reverse Cycle,1498,Class 7,FALSE,,TRUE,TRUE,FALSE,FALSE,KRP58M51,3.428,Available,,,TRUE,AAC1600
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DMORC35DR,,,MIDEA,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.88,3.1,3.6,198,0,,,280,0.93,3.8,Calorimeter Room,4.0795,4.0917,TRUE,,,4.7,5.7,0,0,,,,4.007206274,4.007416072,,,3.5144,3.5148,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90183,2020/6/9,,Approved,Reverse Cycle,835,Class 3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.0795,Available,,,TRUE,AAC1573
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DMORC50DR,,,MIDEA,1.23,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.58,4.17,5.4,315,0,,,218,1.58,5.4,Calorimeter Room,3.574,3.5749,TRUE,,,7.6,8.6,0,0,,,,3.514348361,3.50761754,,,2.5287,2.5152,2.5,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90184,2020/6/22,,Approved,Reverse Cycle,990,Class 4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.574,Available,,,TRUE,AAC1597
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DMORC70DR,,,MIDEA,1.8,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.04,5.5,7.3,258,0,,,343,1.9,7.5,Calorimeter Room,3.6619,4.0672,TRUE,,,6.8,7.8,0,0,,,,3.62048079,4.009445644,,,2.741,3.5189,2.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90185,2020/6/22,,Approved,Reverse Cycle,1186,Class 4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.6619,Available,,,TRUE,AAC1596
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DMORC80DR,,,MIDEA,2.11,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.37,6.04,8.15,258,0,,,343,2.7,9.3,Calorimeter Room,3.4323,3.5435,TRUE,,,6.8,7.8,0,0,,,,3.398835121,3.508203555,,,2.2977,2.5164,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90186,2020/6/16,,Approved,Reverse Cycle,1186,Class 4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.4323,Available,,,TRUE,AAC1586
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AAHW2.5S,,,ADVANTAGE AIR,0.171,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.65,2.329,2.5,300,0,,,198,0.65,2.8,Calorimeter Room,3.9011,4.1106,TRUE,,,3.5,3.5,0,0,,,,3.831033802,4.037234283,,,3.1621,3.5745,3,3.5,Calorimeter Room,Single,R410A,Australia,90190,2020/7/22,,Approved,Reverse Cycle,800,Class 3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,3.9011,Available,,,TRUE,AAC1661
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD294KYX/OSA294RKTGV,,,TEMPERZONE,4.66,Ducted,Single Split System,,Air,Air,"New Zealand,Australia",8.83,22.88,27.54,,0,,,,8.15,28.24,Enthalpy Test Room,3.1189,3.465,TRUE,,,13.26,12.71,0,0,,,,3.103161949,3.44686178,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90234,2020/9/4,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,201000331,3.1189,Available,,,TRUE,AAC1771
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ISD324KYX/OSA324RKTGV,,,TEMPERZONE,5.11,Ducted,Single Split System,,Air,Air,"Australia,New Zealand",10.11,26.42,31.53,,0,0,0,,7.89,30.29,Enthalpy Test Room,3.1187,3.839,TRUE,0,,13.26,12.71,0,0,,,,3.104929849,3.818247005,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90390,2020/10/22,,Approved,Reverse Cycle,,Class 11,FALSE,,TRUE,,,,201000331,3.1187,Available,,,TRUE,AAC1848
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AUTG30KRLA / AOTG30KBTA,,,FUJITSU,1.61,Non Ducted,Single Split System,Cassette,Air,Air,"Thailand,China",2.39,6.89,8.5,288,0,,,840,2.62,10,Calorimeter Room,3.7769,3.8981,TRUE,61,,5.16,5.26,4.782559456,5.670391061,,,,3.748536622,3.87187626,,,2.9971,3.2438,2.5,3,Calorimeter Room,Single,R32,"Australia,New Zealand",90558,2020/6/16,,Approved,Reverse Cycle,840,Class 4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,UTY-XCZZ5,3.7769,Available,,,TRUE,AAC1587
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,AUTG54KRLA / AOTG54KBTA,,,FUJITSU,3.48,Non Ducted,Single Split System,Cassette,Air,Air,"Thailand,China",4.04,9.52,13,288,0,,,840,4.23,16,Calorimeter Room,3.2625,3.8625,TRUE,61,,6.53,6.52,4.656011119,5.237547893,,,,3.24460217,3.842504235,,,1.9892,3.185,1.5,3,Calorimeter Room,Single,R32,"Australia,New Zealand",90561,2020/6/24,,Approved,Reverse Cycle,840,Class 5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,UTY-XCZZ5,3.2625,Available,,,TRUE,AAC1606
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP200YLM-A1,,,MITSUBISHI ELECTRIC,1.12,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",5.19,21.28,22.4,,0,,,,5.73,25,Enthalpy Test Room,4.316,4.3783,TRUE,,,50,50,0,0,,,,4.179884307,4.252423882,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90782,2020/6/16,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.316,Available,,,TRUE,AAC1593
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP250YLM-A1,,,MITSUBISHI ELECTRIC,1.4,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",6.89,26.6,28,,0,,,,7.68,31.5,Enthalpy Test Room,4.0926,4.1444,TRUE,,,50,50,0,0,,,,3.994914536,4.054435743,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90785,2020/6/16,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,4.0926,Available,,,TRUE,AAC1592
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP300YLM-A1,,,MITSUBISHI ELECTRIC,1.67,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",8.56,31.83,33.5,,0,,,,9.16,37.5,Enthalpy Test Room,3.9181,4.1444,TRUE,,,54,54,0,0,,,,3.83623513,4.062676979,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90788,2020/6/16,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.9181,Available,,,TRUE,AAC1591
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP350YLM-A1,,,MITSUBISHI ELECTRIC,2,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",11.69,38,40,,0,,,,12.53,45,Enthalpy Test Room,3.4602,3.7444,TRUE,,,54,54,0,0,,,,3.406423834,3.688728965,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90800,2020/6/16,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.4602,Available,,,TRUE,AAC1590
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP400YLM-A1,,,MITSUBISHI ELECTRIC,1.77,Non Ducted,Multiple split - VRF,,Air,Air,"United Kingdom,Japan",12.26,43.23,45,,0,,,,13.15,50,Enthalpy Test Room,3.6842,3.8242,TRUE,,,54,54,0,0,,,,3.630554749,3.771530599,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90801,2020/6/16,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.6842,Available,,,TRUE,AAC1589
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,PUHY-EP450YLM-A1,,,MITSUBISHI ELECTRIC,2.5,Non Ducted,Multiple split - VRF,,Air,Air,"Japan,United Kingdom",14.79,47.5,50,,0,,,,16.09,56,Enthalpy Test Room,3.4602,3.6163,TRUE,,,54,54,0,0,,,,3.417046414,3.574395967,,,,,,,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",90802,2020/6/16,,Approved,Reverse Cycle,,Class 12,FALSE,,FALSE,,,,,3.4602,Available,,,TRUE,AAC1588
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DXK05Z5-S,SRK/DXK** ZMP/Z5,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.42,1.69,1.69,,0,,,,0.47,2,Calorimeter Room,3.8851,4.4066,TRUE,,,4.6,4.7,0,0,,,,3.750987686,4.267368748,,,3.002,4.0347,3,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",90822,2020/6/30,,Approved,Reverse Cycle,,Class 3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.8851,Available,,,TRUE,AAC1619
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,SRK17ZMP-S,SRK/DXK** ZMP/Z5,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.42,1.69,1.69,,0,,,,0.47,2,Calorimeter Room,3.8851,4.4066,TRUE,,,4.6,4.7,0,0,,,,3.750987686,4.267368748,,,3.002,4.0347,3,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",90822,2020/6/30,,Approved,Reverse Cycle,,Class 3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.8851,Available,,,TRUE,AAC1619
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,SRK/DXK** ZMP/Z5,SRK/DXK** ZMP/Z5,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.42,1.69,1.69,,0,,,,0.47,2,Calorimeter Room,3.8851,4.4066,TRUE,,,4.6,4.7,0,0,,,,3.750987686,4.267368748,,,3.002,4.0347,3,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",90822,2020/6/30,,Approved,Reverse Cycle,,Class 3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,3.8851,Available,,,TRUE,AAC1619
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,APC035VA3B,APH035VA3B,,SPECIALIZED ENGINEERING,6.006,Ducted,Packaged,,Air,Air,Australia,9.92,27.06,33.066,,0,,,,8.9,33.64,Enthalpy Test Room,3.3333,3.8819,FALSE,,,90,90,0,0,,,,3.234091665,3.752547052,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90825,2020/6/22,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.3333,Available,,,FALSE,AAC1595
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,APH035VA3B,APH035VA3B,,SPECIALIZED ENGINEERING,6.006,Ducted,Packaged,,Air,Air,Australia,9.92,27.06,33.066,,0,,,,8.9,33.64,Enthalpy Test Room,3.3333,3.8819,FALSE,,,90,90,0,0,,,,3.234091665,3.752547052,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",90825,2020/6/22,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.3333,Available,,,FALSE,AAC1595
