,ApplStandard,N-Standard,Model_No,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration3_Sink,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,H2_COP,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,outdoortype,Phase,Refrigerant,Type,Demand Response 1,EER,Registration Number
1256,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAV-SM1607CTP-E / RAV-SP1604AT8-A1,Toshiba,4.2,Non Ducted,Single Split System,Air,"Thailand,Japan",4.24,9.7,13.9,0.0,4.31,16.0,Enthalpy Test Room,3.1348,3.7178,True,18.0,18.0,4.29542857143,4.79253567508,3.09167864992,3.66501432959,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1348,AAC1473
1257,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-4M27S3AV-A / (RAS-B13N3KV2-E1 x 4),Toshiba,1.5,Non Ducted,Multiple split - Fixed head,Air,Thailand,2.29,6.5,8.0,0.0,1.93,9.0,Calorimeter Room,3.5042,4.501,True,17.0,17.0,0.0,0.0,3.42114167348,4.3748109258,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.5042,AAC1486
1258,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,WWF-55/QC5G,MIDEA,1.22,Non Ducted,Window Wall,Air,China,1.73,4.28,5.5,0.0,1.47,4.7,Calorimeter Room,3.239,3.2409,False,0.3,0.3,0.0,0.0,3.23706763569,3.23858942052,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.239,AAC1503
1259,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP200YLM-A1,MITSUBISHI ELECTRIC,1.12,Non Ducted,Multiple split - VRF,Air,"United Kingdom,Japan",5.48,21.28,22.4,0.0,6.41,25.0,Enthalpy Test Room,4.159,3.913,True,50.0,50.0,0.0,0.0,4.03298082094,3.81298229687,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,4.159,AAC1483
1260,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP250YLM-A1,MITSUBISHI ELECTRIC,1.4,Non Ducted,Multiple split - VRF,Air,"Japan,United Kingdom",7.25,26.6,28.0,0.0,8.45,31.5,Enthalpy Test Room,3.8866,3.7308,True,50.0,50.0,0.0,0.0,3.79781051493,3.65783076745,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.8866,AAC1484
1261,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP300YLM-A1,MITSUBISHI ELECTRIC,1.67,Non Ducted,Multiple split - VRF,Air,"United Kingdom,Japan",9.2,31.83,33.5,0.0,9.97,37.5,Enthalpy Test Room,3.6482,3.9413,True,54.0,54.0,0.0,0.0,3.57731471426,3.86731012124,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.6482,AAC1482
1262,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP350YLM-A1,MITSUBISHI ELECTRIC,2.0,Non Ducted,Multiple split - VRF,Air,"Japan,United Kingdom",12.57,38.0,40.0,0.0,12.93,45.0,Enthalpy Test Room,3.1825,3.6199,True,54.0,54.0,0.0,0.0,3.13709659754,3.56850757083,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1825,AAC1491
1263,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP400YLM-A1,MITSUBISHI ELECTRIC,1.77,Non Ducted,Multiple split - VRF,Air,"Japan,United Kingdom",12.56,43.23,45.0,0.0,13.4,50.0,Enthalpy Test Room,3.5822,3.7895,True,54.0,54.0,0.0,0.0,3.5310181546,3.73817357586,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.5822,AAC1481
1264,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,PURY-EP450YLM-A1,MITSUBISHI ELECTRIC,2.5,Non Ducted,Multiple split - VRF,Air,"United Kingdom,Japan",14.83,47.5,50.0,0.0,15.86,56.0,Enthalpy Test Room,3.3942,3.6013,True,54.0,54.0,0.0,0.0,3.35280901278,3.55950604226,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.3942,AAC1480
1265,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FIV-73HS1(A)M / FUV-73HS1,BD-BingDian,0.07,Non Ducted,Single Split System,Air,Taiwan,2.21,7.23,7.3,0.0,2.05,7.9,Calorimeter Room,3.5156,3.5464,True,6.1,6.1,0.0,0.0,3.48060337542,3.51262318655,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.5156,AAC1501
1266,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FIV-50HS1(B)M / FUV-50HS1,BD-BingDian,1.2,Non Ducted,Single Split System,Air,Taiwan,1.41,3.5,4.7,0.0,1.3,4.9,Calorimeter Room,3.3617,3.7236,True,6.0,6.0,0.0,0.0,3.31241686426,3.66639379055,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.3617,AAC1506
1267,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-3M26S3AV-A / (RAS-B16N3KV2-E1 x 2 + RAS-B13N3KV2-E1),Toshiba,1.0,Non Ducted,Multiple split - Fixed head,Air,Thailand,2.0,6.5,7.5,0.0,2.2,9.0,Calorimeter Room,3.6792,4.2265,True,17.0,17.0,0.0,0.0,3.57973320279,4.1182451415,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.6792,AAC1499
1268,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-18N3KV2-A1/RAS-18N3AV2-A1,TOSHIBA,0.85,Non Ducted,Single Split System,Air,Thailand,1.42,4.15,5.0,0.0,1.56,5.8,Calorimeter Room,3.5014,3.7377,True,6.9,6.9,0.0,0.0,3.44389786109,3.68290195319,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.5014,ZAC0483
1269,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FIV-25HS1(D)M / FUV-25HS1,BD-BingDian,0.15,Non Ducted,Single Split System,Air,Taiwan,0.57,2.35,2.5,0.0,0.7,2.8,Calorimeter Room,4.5758,4.1382,True,6.33,6.33,0.0,0.0,4.39531751191,4.0051373965,Calorimeter Room,Single,R410A,Reverse Cycle,False,4.5758,AAC1508
1270,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,RAS-5M34S3AV-A / (RAS-B13N3KV2-E1 x 5),Toshiba,1.5,Non Ducted,Multiple split - Fixed head,Air,Thailand,2.98,8.5,10.0,0.0,2.83,12.0,Calorimeter Room,3.2443,4.0825,True,17.1,17.1,0.0,0.0,3.18300947283,4.00296785698,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.2443,AAC1495
1271,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,WWF-35/QC5G,MIDEA,1.39,Non Ducted,Window Wall,Air,China,1.05,2.11,3.5,0.0,0.96,3.2,Calorimeter Room,3.2857,3.3229,False,0.3,0.3,0.0,0.0,3.28250148985,3.31945386685,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.2857,AAC1505
1272,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,WWF-26/QC5G,MIDEA,0.48,Non Ducted,Window Wall,Air,China,0.79,2.12,2.6,0.0,0.7,2.35,Calorimeter Room,3.2684,3.3674,False,0.3,0.3,0.0,0.0,3.2642367226,3.3625221938,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.2684,AAC1502
1273,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FIV-35HS1(D)M / FUV-35HS1,BD-BingDian,0.6,Non Ducted,Single Split System,Air,Taiwan,0.92,2.9,3.5,0.0,0.94,3.7,Calorimeter Room,3.8649,3.8303,True,6.33,6.33,0.0,0.0,3.77171213644,3.74424319983,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.8649,AAC1500
1274,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-16N3KV2-A1/RAS-16N3AV2-A,TOSHIBA,1.0,Non Ducted,Single Split System,Air,Thailand,1.34,3.4,4.4,0.0,1.5,5.3,Calorimeter Room,3.208,3.5385,True,6.9,6.9,4.48042704626,4.97328881469,3.15275631916,3.48364004512,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.208,ZAC0484
1275,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-22N3KV2-A1/RAS-22N3AV2-A,TOSHIBA,1.1,Non Ducted,Single Split System,Air,Thailand,1.83,4.9,6.0,0.0,1.98,7.0,Calorimeter Room,3.2543,3.5283,True,6.9,6.9,5.55298013245,5.30364963504,3.21245341611,3.48719496413,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.2543,ZAC0485
1276,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-24N3KV2-A1/RAS-24N3AV2-A,TOSHIBA,1.95,Non Ducted,Single Split System,Air,Thailand,2.25,5.15,7.1,0.0,2.45,8.1,Calorimeter Room,3.1306,3.239,True,7.8,7.8,4.5628742515,3.79365079365,3.09487363069,3.20536530776,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.1306,ZAC0486
1277,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-13N3KV2-A1/RAS-13N3AV2-A,TOSHIBA,0.6,Non Ducted,Single Split System,Air,Thailand,0.92,2.8,3.4,0.0,1.12,4.2,Calorimeter Room,3.6997,3.707,True,5.4,5.4,4.63800904977,6.1312335958,3.6283903333,3.64774826243,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.6997,ZAC0487
1278,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,HSU-26HEK03/R2(DB),Haier,0.26,Non Ducted,Single Split System,Air,China,0.67,2.34,2.6,0.0,0.73,2.8,Calorimeter Room,3.9182,3.9048,True,9.32,9.32,0.0,0.0,3.73968765944,3.74222605742,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.9182,AAC1629
1279,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,HSU-35HEK03/R2(DB),Haier,0.06,Non Ducted,Single Split System,Air,China,0.96,3.44,3.5,0.0,1.03,4.0,Calorimeter Room,3.784,3.9541,True,9.5,9.4,4.60305343511,0.0,3.65720011272,3.83272836915,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.784,AAC1564
1280,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,HSU-53HEK03/R2(DB),Haier,0.8,Non Ducted,Single Split System,Air,China,1.5,4.2,5.0,2.5013239188,1.5,5.8,Calorimeter Room,3.3942,4.0454,True,9.5,9.5,0.0,0.0,3.32099105577,3.95798426765,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.3942,AAC1552
1281,AS/NZS 3823.2:2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,RAS-10N3KV2-A1/RAS-10N3AV2-A1,TOSHIBA,1.0,Non Ducted,Single Split System,Air,Thailand,0.6,1.5,2.5,0.0,0.75,3.2,Calorimeter Room,4.0016,4.2641,True,5.4,5.4,5.5256916996,5.25377643505,3.8884032905,4.16223968011,Calorimeter Room,Single,R410A,Reverse Cycle,True,4.0016,ZAC0488
1282,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,C-VM3-80,MIDEA,0.75,Non Ducted,Multiple split - Fixed head,Air,China,2.3,6.95,7.7,0.0,2.26,8.2,Enthalpy Test Room,3.358,3.7337,True,18.0,20.0,0.0,0.0,3.26977242488,3.62031797359,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.358,AAC1514
1283,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,C-VM5-105,MIDEA,1.3,Non Ducted,Multiple split - Fixed head,Air,China,3.08,9.2,10.5,0.0,3.22,11.6,Enthalpy Test Room,3.4197,3.7404,True,24.0,25.0,0.0,0.0,3.33118425084,3.64091266719,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.4197,AAC1513
1284,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,"SRK,DXK**ZRA-S","MITSUBISHI HEAVY INDUSTRIES, LTD.",1.15,Non Ducted,Single Split System,Air,Thailand,1.85,5.15,6.3,0.0,1.74,7.1,Calorimeter Room,3.5683,4.1098,True,3.0,3.0,0.0,0.0,3.54843325225,4.08613648515,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.5683,AAC1537
1285,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,"SRK,DXK**ZRA-S","MITSUBISHI HEAVY INDUSTRIES, LTD.",1.57,Non Ducted,Single Split System,Air,Thailand,2.05,5.53,7.1,0.0,2.06,8.0,Calorimeter Room,3.5417,3.9572,True,3.0,3.0,5.0270602706,5.16609392898,3.52398943693,3.93783786397,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.5417,AAC1550
1286,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,DXK28ZRA-S / DXC28ZRA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.81,Non Ducted,Single Split System,Air,Thailand,2.35,6.19,8.0,0.0,2.4,9.0,Calorimeter Room,3.4849,3.8139,True,3.0,3.0,4.88364434687,5.43272335845,3.46985741824,3.79768549123,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.4849,AAC1522
1287,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,SRK80ZRA-S / SRC80ZRA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.81,Non Ducted,Single Split System,Air,Thailand,2.35,6.19,8.0,0.0,2.4,9.0,Calorimeter Room,3.4849,3.8139,True,3.0,3.0,4.88364434687,5.43272335845,3.46985741824,3.79768549123,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.4849,AAC1522
1288,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,"SRK,DXK**ZRA-S","MITSUBISHI HEAVY INDUSTRIES, LTD.",1.81,Non Ducted,Single Split System,Air,Thailand,2.35,6.19,8.0,0.0,2.4,9.0,Calorimeter Room,3.4849,3.8139,True,3.0,3.0,4.88364434687,5.43272335845,3.46985741824,3.79768549123,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.4849,AAC1522
1289,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FBQ50EV / RZQS50AV,DAIKIN,0.8,Ducted,Single Split System,Air,Thailand,1.35,4.2,5.0,0.0,1.43,6.0,Enthalpy Test Room,4.0891,4.3613,True,29.5,36.9,0.0,0.0,3.7810396537,4.00073704765,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,4.0891,AAC1533
1290,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FBQ60EV / RZQS60AV,DAIKIN,0.9,Ducted,Single Split System,Air,Thailand,1.59,4.9,5.8,0.0,1.83,7.0,Enthalpy Test Room,3.7418,4.004,True,29.5,36.9,0.0,0.0,3.51604334699,3.73776071294,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.7418,AAC1530
1291,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FBQ100EV / RZQS100AY,DAIKIN,1.9,Ducted,Single Split System,Air,Thailand,2.73,8.1,10.0,0.0,2.82,11.2,Enthalpy Test Room,3.9405,4.0732,True,20.5,27.5,0.0,0.0,3.83634151829,3.9411220984,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.9405,AAC1531
1292,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,B30AWYN7G5A / B30AWYU4G5A,LG,0.5,Ducted,Single Split System,Air,South Korea,2.59,7.5,8.0,0.0,2.68,8.8,Enthalpy Test Room,3.175,3.3127,True,9.573,9.49,3.81425891182,0.0,3.13556719852,3.27380100196,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.175,AAC1536
1293,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,B36AWYN7G5A / B36AWYU4G5A,LG,0.927,Ducted,Single Split System,Air,South Korea,3.01,8.973,9.9,0.0,3.35,11.0,Enthalpy Test Room,3.4174,3.4465,True,6.47,6.263,0.0,0.0,3.39276871206,3.42415821544,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.4174,AAC1535
1294,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,ISD224KYX/OSA224RKTGH,TEMPERZONE,3.4,Ducted,Single Split System,Air,"New Zealand,Australia",6.75,18.04,21.44,0.0,6.75,21.45,Enthalpy Test Room,3.1763,3.1778,True,12.26,11.71,0.0,0.0,3.15691573338,3.15925294817,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1763,AAC1555
1295,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,SACV14D1S/SCHV14D1S,Braemar,3.0,Ducted,Single Split System,Air,"Australia,China",3.9,11.5,14.5,0.0,,,Enthalpy Test Room,3.7215,0.0,True,2.14,,0.0,0.0,3.71461338608,0.0,Enthalpy Test Room,Single,R410A,Cooling Only,True,3.7215,AAC1554
1296,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,ISD224KYX/OSA224RKTFH,TEMPERZONE,2.81,Ducted,Single Split System,Air,"New Zealand,Australia",6.61,17.79,20.6,0.0,7.36,23.03,Enthalpy Test Room,3.1165,3.1291,True,10.26,9.71,0.0,0.0,3.10022510042,3.11518481757,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1165,AAC1566
1297,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,ISD87KYX/OSA87RKSH,TEMPERZONE,1.27,Ducted,Single Split System,Air,"New Zealand,Australia",2.54,7.0,8.27,0.0,2.27,7.77,Enthalpy Test Room,3.2559,3.4229,False,3.91,3.71,0.0,0.0,3.23905249216,3.40410274555,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.2559,AAC1556
1298,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,ISD184KYX/OSA184RKTFH,TEMPERZONE,2.89,Ducted,Single Split System,Air,"New Zealand,Australia",5.69,15.05,17.94,0.0,5.69,18.73,Enthalpy Test Room,3.1529,3.2917,True,10.91,10.71,0.0,0.0,3.13259805634,3.27093022496,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1529,AAC1546
1299,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,LED265V5/LCD265V5,LENNOX,5.5,Ducted,Single Split System,Air,China,8.2,21.0,26.5,0.0,8.0,26.5,Enthalpy Test Room,3.1798,3.3757,True,58.0,58.0,0.0,0.0,3.10561148752,3.29322884731,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.1798,AAC1621
1300,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,LED235V5/LCD235V5,LENNOX,4.0,Ducted,Single Split System,Air,China,7.0,19.5,23.5,0.0,7.55,25.5,Enthalpy Test Room,3.3177,3.3661,True,57.58,57.48,0.0,0.0,3.23169042067,3.28533500758,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.3177,AAC1620
1301,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,SACV12D1S/SCHV12D1S,Braemar,2.8,Ducted,Single Split System,Air,"China,Australia",3.5,10.2,13.0,0.0,,,Enthalpy Test Room,3.7018,0.0,True,2.16,,0.0,0.0,3.69409601366,0.0,Enthalpy Test Room,Single,R410A,Cooling Only,True,3.7018,AAC1553
1302,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,SACV10D1S/SCHV10D1S,Braemar,1.6,Ducted,Single Split System,Air,"Australia,China",2.9,8.4,10.0,0.0,,,Enthalpy Test Room,3.4041,0.0,True,2.0,,0.0,0.0,3.39610280999,0.0,Enthalpy Test Room,Single,R410A,Cooling Only,True,3.4041,AAC1563
1303,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,DMORC26DR,MIDEA,0.25,Non Ducted,Single Split System,Air,China,0.6,2.3,2.55,0.0,0.62,2.65,Calorimeter Room,4.3619,4.2636,True,3.7,4.7,0.0,0.0,4.27031801527,4.15485337606,Calorimeter Room,Single,R410A,Reverse Cycle,True,4.3619,AAC1585
1304,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FCQ125KA / RZQ125L,DAIKIN,3.0,Non Ducted,Single Split System,Air,"Japan,Thailand",4.02,9.5,12.5,0.0,3.825,14.0,Enthalpy Test Room,3.1434,3.7709,True,29.8,37.2,5.26633165829,0.0,3.06436489384,3.6437850333,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.1434,AAC1781
1305,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,FDC224KXZXE1,"MITSUBISHI HEAVY INDUSTRIES, LTD.",3.14,Non Ducted,Multiple split - VRF,Air,Thailand,5.14,19.26,22.4,0.0,5.72,25.0,Enthalpy Test Room,4.1194,4.6116,True,55.0,55.0,0.0,0.0,3.97723685921,4.45326783505,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,4.1194,AAC1572
1306,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FHQ140CAV / RZQS140AV,DAIKIN,3.6,Non Ducted,Single Split System,Air,"Japan,Thailand",4.34,9.6,13.2,0.0,4.94,16.0,Enthalpy Test Room,3.0502,3.3405,True,29.8,37.2,4.4,0.0,2.9791255182,3.25374229964,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.0502,AAC1598
1307,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,FHQ125BWV / RZQS125AY,DAIKIN,3.2,Non Ducted,Single Split System,Air,"Japan,Thailand",3.56,8.0,11.2,0.0,4.35,13.5,Enthalpy Test Room,3.1433,3.1566,True,29.8,37.2,6.02634467618,3.9244085401,3.0569677368,3.06686474961,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1433,AAC1608
1308,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.1.4:2012,FDC280KXZXE1,"MITSUBISHI HEAVY INDUSTRIES, LTD.",3.92,Non Ducted,Multiple split - VRF,Air,Thailand,7.27,24.08,28.0,0.0,7.15,31.5,Enthalpy Test Room,3.7484,4.2891,True,59.0,59.0,0.0,0.0,3.64861364431,4.17149016556,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.7484,AAC1565
1309,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FDYQT140LB / RZQS140AV,DAIKIN,1.3,Ducted,Single Split System,Air,"Thailand,Australia",4.13,12.7,14.0,0.0,4.29,16.5,Enthalpy Test Room,3.4488,3.9168,True,31.4,38.8,4.62995337995,0.0,3.3596286934,3.79900319733,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.4488,AAC1607
1310,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FDYQT125L / RZQS125AY,DAIKIN,1.2,Ducted,Single Split System,Air,Thailand,3.68,11.3,12.5,0.0,3.79,15.0,Enthalpy Test Room,3.6536,4.1108,True,31.4,38.8,0.0,0.0,3.54537465398,3.97302705266,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.6536,AAC1574
1311,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],AS/NZS 3823.3:2002,FDC335KXZXE1,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.32,Non Ducted,Multiple split - VRF,Air,Thailand,9.04,32.18,33.5,0.0,8.75,37.5,,4.0723,4.2604,True,59.0,59.0,0.0,0.0,3.97705015704,4.1663993487,,Three,R410A,Reverse Cycle,False,4.0723,AAC1599
1312,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FDYQT160L / RZQS160AV,DAIKIN,1.3,Ducted,Single Split System,Air,Thailand,4.92,14.7,16.0,0.0,4.72,18.0,Enthalpy Test Room,3.1806,3.8423,True,31.4,38.9,0.0,0.0,3.11309519525,3.73766793209,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.1806,AAC1575
